Bellevue College: https://www.bellevuecollege.edu/athletics/sports/softball/softball-roster/ - Reason: Attempt 1: No player data found on the roster page.; Attempt 2: No player data found on the roster page.; Attempt 3: No player data found on the roster page.
Big Bend Community College: https://bbccvikings.com/sports/sball/2024-25/roster - Reason: Attempt 1: No valid players found after validation; Attempt 2: No valid players found after validation; Attempt 3: No valid players found after validation
Blue Mountain Community College: https://bmcctimberwolves.com/sports/sball/2024-25/roster - Reason: Attempt 1: No valid players found after validation; Attempt 2: No valid players found after validation; Attempt 3: No valid players found after validation
Chemeketa Community College: https://www.chemeketa.edu/athletics/softball/ - Reason: Attempt 1: Roster year could not be determined.; Attempt 2: Roster year could not be determined.; Attempt 3: No player data found on the roster page.
Clackamas Community College: https://www.clackamascougars.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Clark College: https://clarkpenguins.com/sports/softball/roster - Reason: Attempt 1: Failed to parse JSON: Unterminated string starting at: line 1095 column 9 (char 20195); Attempt 2: No valid players found after validation; Attempt 3: No valid players found after validation
Douglas College: https://douglascollegeroyals.ca/sports/sball/2024-25/roster - Reason: Attempt 1: No valid players found after validation; Attempt 2: No player data found on the roster page.; Attempt 3: No player data found on the roster page.
Edmonds College: https://www.edmondstritons.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Everett Community College: https://athletics.everettcc.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Highline College: https://highlineathletics.com/sports/softball/roster - Reason: Attempt 1: No valid players found after validation; Attempt 2: Failed to parse JSON: Expecting value: line 1128 column 12 (char 21366); Attempt 3: No valid players found after validation
Mt. Hood Community College: https://www.mhcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
North Idaho College: https://nicathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: No valid players found after validation; Attempt 2: No valid players found after validation; Attempt 3: No valid players found after validation
Olympic College: https://www.olympicrangers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Pierce College: https://www.pierceraiders.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Treasure Valley Community College: https://www.gochuks.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Walla Walla Community College: https://warriors.wwcc.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
